,title,genres,keywords,cast,director,images
1034,Star Trek: First Contact,Science Fiction Action Adventure Thriller,federation starfleet borg enterprise-e cyborg,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes,/13zoJs9NYW3mtqncZUOucUIVs7r.jpg
1035,Jonah Hex,Action Western Drama Fantasy Thriller,gunslinger usa dc comics hell facial scar,Josh Brolin John Malkovich Megan Fox Michael Fassbender Will Arnett,Jimmy Hayward,/iNYe0BmPDAEQlChNYOfceGPNnq6.jpg
1036,Courage Under Fire,Drama Thriller Mystery War,gulf war pilot u.s. army praise rescue mission,Denzel Washington Meg Ryan Lou Diamond Phillips Matt Damon Michael Moriarty,Edward Zwick,/51Mr7maI9JaE3pY2CeUSZHTdRas.jpg
1037,Liar Liar,Comedy,california workaholic birthday lie pregnancy and birth,Jim Carrey Maura Tierney Cary Elwes Jennifer Tilly Swoosie Kurtz,Tom Shadyac,/wUzCzeM7ZRG0kHHOU8wiTrXdocd.jpg
1038,The Infiltrator,Crime Drama Thriller,undercover biography drug drug lord,Bryan Cranston Diane Kruger John Leguizamo Daniel Mays Benjamin Bratt,Brad Furman,/w2RClXd59hGDKGLExmV4X7XzhOb.jpg
1039,Inchon,Drama History War,,Laurence Olivier Jacqueline Bisset Ben Gazzara Toshir\u014d Mifune Richard Roundtree,Terence Young,/i3MUft0U8AsWOtEEPnmQYxbxPRc.jpg
1040,The Flintstones,Fantasy Comedy Family,manager jealousy bad mother-in-law adoption family's daily life,John Goodman Elizabeth Perkins Rick Moranis Rosie O'Donnell Kyle MacLachlan,Brian Levant,/4byUSbNrjqCSjqVYrJU6AxqyZYr.jpg
1041,Taken 2,Action Crime Thriller,kidnapping turkey police chase bag over head violence,Liam Neeson Maggie Grace Famke Janssen Rade Serbedzija Luke Grimes,Olivier Megaton,/wiHwmNKPA7J9GgqCKY2z243HE3S.jpg
1042,Scary Movie 3,Comedy,horror spoof,Pamela Anderson Jenny McCarthy Marny Eng Charlie Sheen Simon Rex,David Zucker,/4ml6eXieYnW6qv9qHwUUfDi0ntm.jpg
1043,Miss Congeniality,Comedy Crime Action,undercover agent beauty contest terrorism,Sandra Bullock Benjamin Bratt Michael Caine Candice Bergen William Shatner,Donald Petrie,/3Q6EFRC4uPNpBMJFQRJYouo3y36.jpg
1044,Journey to the Center of the Earth,Action Science Fiction Adventure Comedy Family,volcano prehistoric dinosaur prehistoric creature 3d,Brendan Fraser Josh Hutcherson Anita Briem Seth Meyers Jean Michel Par\u00e9,Eric Brevig,/rLHW8UNef8JPYKpdqpeiEkM9nOA.jpg
1045,The Princess Diaries 2: Royal Engagement,Comedy Drama Family Romance,coronation duty marriage falling in love,Anne Hathaway Julie Andrews H\u00e9ctor Elizondo John Rhys-Davies Heather Matarazzo,Garry Marshall,/pmOXaAK8hteMlCiMZyyDJENHCZI.jpg
1046,The Pelican Brief,Drama Mystery Thriller Crime,judge professor mission of murder supreme court,Julia Roberts Denzel Washington Sam Shepard William Atherton John Lithgow,Alan J. Pakula,/dMFVSGbgtVTedpewA4PHykQuEEK.jpg
1047,The Client,Drama Thriller Crime Mystery,suicide brother brother relationship witness protection principal witness  brother,Susan Sarandon Tommy Lee Jones Mary-Louise Parker Anthony LaPaglia Bradley Whitford,Joel Schumacher,/s9U7htepgZ7jakyoG94qgNVWdC7.jpg
1048,The Bucket List,Drama Comedy,africa himalaya brain tumor wife husband relationship sense of life,Jack Nicholson Morgan Freeman Sean Hayes Beverly Todd Alfonso Freeman,Rob Reiner,/lVrUhaURUHStrl3mr15zkKplavB.jpg
1049,Patriot Games,Drama Action Thriller Crime,assassination assassin repayment ira jack ryan,Harrison Ford Anne Archer Patrick Bergin Thora Birch James Fox,Phillip Noyce,/nkpqhZKTXF18J94e2QVNhnO1ALr.jpg
1050,Monster-in-Law,Romance Comedy,bad mother-in-law surgeon dogsitter falling in love,Jennifer Lopez Jane Fonda Michael Vartan Wanda Sykes Adam Scott,Robert Luketic,/FjqN9Aaqxd63Bfjoft6APu4Fua.jpg
1051,Prisoners,Drama Thriller Crime,pennsylvania kidnapping maze vigilante rural setting,Hugh Jackman Jake Gyllenhaal Paul Dano Maria Bello Melissa Leo,Denis Villeneuve,/gv0p6gQM6tDkJFx2UpURWyCAjPn.jpg
1052,Training Day,Action Crime Drama Thriller,police brutality war on drugs drug traffic drug dealer los angeles,Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin,Antoine Fuqua,/nEQ6H2ih2caDHnkmJqiOC0m0fKk.jpg
1053,Galaxy Quest,Comedy Family Science Fiction,space battle spaceship spoof fictional tv show,Tim Allen Sigourney Weaver Alan Rickman Tony Shalhoub Sam Rockwell,Dean Parisot,/olWRQUJhBTD5GR1SNNIMJYDG6ka.jpg
1054,Scary Movie 2,Comedy,sex exorcism secret door,Anna Faris Marlon Wayans James DeBello Shawn Wayans David Cross,Keenen Ivory Wayans,/tcvPFdANexMxEsIUZnzjxBJbgkb.jpg
1055,The Muppets,Comedy Family Music,musical the muppets robot oil tycoon studio tour,Amy Adams Jason Segel Emily Blunt John Krasinski Zach Galifianakis,James Bobin,/60PR4UC3D20dycVAoWadUzFio5R.jpg
1056,Blade,Horror Action,suicide hero vampire bite fistfight,Wesley Snipes Stephen Dorff Kris Kristofferson N'Bushe Wright Donal Logue,Stephen Norrington,/hZnnUq0mrUQ3e54SJVca4mf2oAQ.jpg
1057,Coach Carter,Drama,black people autoritian education sport high school scholarship,Samuel L. Jackson Rob Brown Robert Ri'chard Rick Gonzalez Channing Tatum,Thomas Carter,/rBeBQmSdn9rUZtbJjxtEhXkEBKM.jpg
1058,Changing Lanes,Action Adventure Crime Thriller,new york custody battle suspense lawyer,Ben Affleck Samuel L. Jackson Kim Staunton Toni Collette Sydney Pollack,Roger Michell,/vgV82wb8rRgqMLWe6by8Kj5W5TL.jpg
1059,Anaconda,Adventure Horror Thriller,amazon jungle anaconda film crew killer snake,Jennifer Lopez Ice Cube Jon Voight Eric Stoltz Owen Wilson,Luis Llosa,/5aj2kU5FN9VIu835cIf8W838vlt.jpg
1060,Coyote Ugly,Comedy,bar musical beautiful woman,Piper Perabo Adam Garcia John Goodman Izabella Miko Tyra Banks,David McNally,/o2wIovO2h1h23TPun6937oFf41y.jpg
1061,Love Actually,Comedy Romance Drama,london england male nudity female nudity love at first sight usa president,Keira Knightley Heike Makatsch Emma Thompson Laura Linney Hugh Grant,Richard Curtis,/uMZNQNKDVfvzw77TGc9brbZ8LiS.jpg
1062,A Bug's Life,Adventure Animation Comedy Family,winter fight ant invention collector,Kevin Spacey Julia Louis-Dreyfus Hayden Panettiere Phyllis Diller Bonnie Hunt,Andrew Stanton,/hwwFyowfcbLRVmRBOkvnABBNIOs.jpg
1063,From Hell,Horror Mystery Thriller,loss of family drug addiction jack the ripper,Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson,Albert Hughes,/xo2S7gRwCvWdVqM0Swv37yA2rzw.jpg
1064,The Specialist,Action Thriller,explosive revenge explosives expert,Sylvester Stallone Sharon Stone James Woods Rod Steiger Eric Roberts,Luis Llosa,/etfxKjfs1BE5HRpEuYfjFsZJA0k.jpg
1065,Tin Cup,Comedy Drama Romance,lover (female) golf man-woman relation sport woman between two men,Kevin Costner Don Johnson Cheech Marin George Perez Rene Russo,Ron Shelton,/xVKFyLJXPanmd3IZYynq6MNkzHz.jpg
1066,"Yours, Mine and Ours",Comedy Drama Family,nurse widow children parent sibling,Lucille Ball Henry Fonda Van Johnson Tom Bosley Louise Troy,Melville Shavelson,/wpx9COArAqZIbJ2XW1p8jfmRBrZ.jpg
1067,Kicking & Screaming,Romance Comedy Family,father son relationship generations confilct sport amateur soccer soccer coach,Will Ferrell Robert Duvall Kate Walsh Musetta Vander Josh Hutcherson,Jesse Dylan,/ryWBhLFJGaebx5G2AM872Q3MX3.jpg
1068,The Hitchhiker's Guide to the Galaxy,Adventure Comedy Family Science Fiction,bureaucracy england dolphin android based on novel,Martin Freeman Zooey Deschanel Sam Rockwell Yasiin Bey John Malkovich,Garth Jennings,/szTcja18ovj8gkF3ZvFhYdDhaoy.jpg
1069,Fat Albert,Comedy Drama Family,,Kenan Thompson Shedrack Anderson III Jermaine Williams Keith Robinson Alphonso McAuley,Joel Zwick,/l83rC8rJ1HjfoY4agLTVSIslo0Y.jpg
1070,Resident Evil: Extinction,Horror Action Science Fiction,clone mutant post-apocalyptic dystopia conspiracy,Milla Jovovich Oded Fehr Ali Larter Iain Glen Mike Epps,Russell Mulcahy,/hDQR7T9VUpZ648ZAsZeFnRWLEow.jpg
1071,Blended,Comedy,africa blind date relationship family vacation family,Drew Barrymore Adam Sandler Wendi McLendon-Covey Bella Thorne Terry Crews,Frank Coraci,/hafgbeor4V3MIinoQNcvsRWQF6x.jpg
1072,Last Holiday,Adventure Comedy Drama,,Queen Latifah LL Cool J Timothy Hutton Giancarlo Esposito Alicia Witt,Wayne Wang,/p2c5cCfRB2GpQzd4TV7Z5nhhliO.jpg
1073,The River Wild,Action Adventure Crime Thriller,river robber boston bank robber marriage crisis,Meryl Streep David Strathairn Kevin Bacon Benjamin Bratt John C. Reilly,Curtis Hanson,/1OQ0S4wmTSHvxFWvL1Xkxh74Htx.jpg
1074,The Indian in the Cupboard,Adventure Family Fantasy,cupboard games puppet parallel world toy comes to life,Hal Scardino Litefoot Lindsay Crouse Richard Jenkins Rishi Bhat,Frank Oz,/v8pnPQwU2a1B9s2VQVP8BhIpCd8.jpg
1075,Savages,Crime Drama Thriller,widow american abroad eye gouging dea agent shot in the shoulder,Blake Lively Taylor Kitsch Aaron Taylor-Johnson Benicio del Toro Salma Hayek,Oliver Stone,/39FIOhhLT8mxvFRD6MaFzXCVgHr.jpg
1076,Cellular,Action Adventure Crime Thriller,bank mobile phone telephone weapon police,Chris Evans Kim Basinger Jason Statham Jessica Biel William H. Macy,David R. Ellis,/3I0GUjhFUZqyi6JxrJ07ydXqV0r.jpg
1077,Johnny English,Adventure Action Comedy,spy hero queen intelligence coronation,Rowan Atkinson John Malkovich Natalie Imbruglia Tasha de Vasconcelos Ben Miller,Peter Howitt,/tGcIy7gA8jwYpi5W2UB1Rxrk2i6.jpg
1078,The Ant Bully,Fantasy Adventure Animation Comedy Family,ant child hero shrinking ant-hill children,Julia Roberts Meryl Streep Nicolas Cage Paul Giamatti Bruce Campbell,John A. Davis,/zT7GDvQl2zgs0p3Z2wGwxsaEjNZ.jpg
1079,Dune,Action Science Fiction Adventure,prophecy witch monster telepathy atomic bomb,Kyle MacLachlan Francesca Annis Leonardo Cimino Brad Dourif Jos\u00e9 Ferrer,David Lynch,/5wJ2tckpvwcxGCAgZiccodwEJpf.jpg
1080,Across the Universe,Adventure Drama Music Romance,riot protest musical music cultural difference,Evan Rachel Wood Jim Sturgess Joe Anderson Dana Fuchs Martin Luther,Julie Taymor,/cTrtiOWhhlukk3sE46MYrlsjHSf.jpg
1081,Revolutionary Road,Drama Romance,adultery jealousy infidelity career marriage crisis,Leonardo DiCaprio Kate Winslet Michael Shannon Kathryn Hahn David Harbour,Sam Mendes,/8LJgY2DOv7rWMvbPKHVqHr3PM2X.jpg
1082,16 Blocks,Action Adventure Crime Thriller,mission of murder male bonding doing the right thing people change,Bruce Willis Yasiin Bey David Morse Jenna Stern David Zayas,Richard Donner,/snUdoOV9oQCLYFBKk99POiYpWvj.jpg
1083,Babylon A.D.,Action Adventure Science Fiction Thriller,submarine baby secret future mercenary,Vin Diesel Michelle Yeoh M\u00e9lanie Thierry Lambert Wilson Charlotte Rampling,Mathieu Kassovitz,/wVTvfxz53pDqrIvbrxhVdKcLhip.jpg
1084,The Glimmer Man,Action Adventure Crime Drama Thriller,secret agent past cop series of murders homicide detective,Steven Seagal Keenen Ivory Wayans Bob Gunton Brian Cox Michelle Johnson,John Gray,/tO9KsIcOfV1Y59ps6aSMRLfpzh2.jpg
1085,Multiplicity,Comedy Fantasy Science Fiction,clone mistake in person cloning experiment gone wrong construction,Michael Keaton Andie MacDowell Harris Yulin Eugene Levy Zack Duhame,Harold Ramis,/6VwrCQ3SOoGA2TNfXkhqkOkGFCN.jpg
1086,Aliens in the Attic,Adventure Comedy Family Fantasy Science Fiction,alien comedy duringcreditsstinger beforecreditsstinger live action and animation,Carter Jenkins Austin Butler Kevin Nealon Robert Hoffman Doris Roberts,John Schultz,/zsqfhpnl4sZ3aGUufJUsNDxXXZv.jpg
1087,The Pledge,Crime Drama Mystery Thriller,promise murder drawing porcupine pledge,Jack Nicholson Aaron Eckhart Helen Mirren Robin Wright Vanessa Redgrave,Sean Penn,/grexMZUIPK83kD12KO9uVE8Gg83.jpg
1088,The Producers,Comedy Music,cheating adolf hitler success music blonde,Matthew Broderick Uma Thurman Will Ferrell Eileen Essell Gary Beach,Susan Stroman,/4nOWAY6K8fD2qTzkzjznq57xPAg.jpg
1089,The Phantom,Adventure Action,secret identity gold gangster boss phantom silver,Billy Zane Kristy Swanson Treat Williams Catherine Zeta-Jones James Remar,Simon Wincer,/2BU7yCsyb3XhOYOFMRp1gsPaHjz.jpg
1090,All the Pretty Horses,Drama Romance Western,dancing chess prisoner coffin wrong accusal,Matt Damon Henry Thomas Pen\u00e9lope Cruz Sam Shepard Robert Patrick,Billy Bob Thornton,/7U6WJ0qri2sACtcGa0wEpM9eAM1.jpg
1091,Nixon,History Drama,usa president presidential election watergate scandal biography government,Anthony Hopkins Joan Allen Powers Boothe Ed Harris Bob Hoskins,Oliver Stone,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg
1092,The Ghost Writer,Thriller Mystery,london england cia war crimes tony blair author,Ewan McGregor Pierce Brosnan Jon Bernthal Kim Cattrall Tom Wilkinson,Roman Polanski,/dXWJ3cNNx3BOk124s7VT5xrklTI.jpg
1093,Deep Rising,Adventure Action Horror Science Fiction,ocean liner sea monster jewel heist armed robbery,Treat Williams Famke Janssen Anthony Heald Kevin J. O'Connor Una Damon,Stephen Sommers,/29Cl4q2nidh9lTcBjBqAw7vdeEq.jpg
1094,Miracle at St. Anna,Drama War,black people world war ii toscana village soldier,Derek Luke Michael Ealy Laz Alonso John Turturro Valentina Cervi,Spike Lee,/hY3O9tTA6xlk5l7xamO4uVNxEN2.jpg
1095,Curse of the Golden Flower,Action Drama Fantasy,poison china martial arts swordplay fight,Chow Yun-fat Gong Li Jay Chou Liu Ye Qin Jun-Jie,Zhang Yimou,/qUytCewbph0FV8RR4ILLLK9wK0T.jpg
1096,Bangkok Dangerous,Action Crime Thriller,assassin asia gun deaf-mute hitman,Nicolas Cage Shahkrit Yamnarm Charlie Yeung Panward Hemmanee Nirattisai Kaljaruek,Danny Pang,/f5lBunPk4k3V9kBJ7afuDwgfHBX.jpg
1097,Big Trouble,Action Comedy Thriller,gadfly,Tim Allen Rene Russo Patrick Warburton Ben Foster Zooey Deschanel,Barry Sonnenfeld,/wL5eqnhCSDoRVxMH96ONWpOqIa5.jpg
1098,Love in the Time of Cholera,Drama Romance,sex marriage proposal new love colombia letter,Javier Bardem Unax Ugalde Benjamin Bratt Catalina Sandino Moreno H\u00e9ctor Elizondo,Mike Newell,/jUyEw5ggi2YPsiUDFDLT3yJgTI.jpg
1099,Shadow Conspiracy,Action Thriller,,Charlie Sheen Donald Sutherland Linda Hamilton Stephen Lang Nicholas Turturro,George P. Cosmatos,/lKNWNSuvgDh8HQCgg26FZj7YqOB.jpg
1100,Johnny English Reborn,Crime Adventure Action Comedy Thriller,buddhist monk cooking prime minister kitchen secret agent,Rowan Atkinson Dominic West Gillian Anderson Rosamund Pike Daniel Kaluuya,Oliver Parker,/rpJotXIyyEsVlXIsu5E8DxPaymp.jpg
1101,Foodfight!,Animation Action Comedy Family,supermarket fight product placement computer animation food,Charlie Sheen Wayne Brady Hilary Duff Eva Longoria Christopher Lloyd,Lawrence Kasanoff,/w5XEKGEGG2AXp7tiXjcsEuxn7i5.jpg
1102,Argo,Drama Thriller,cia wife husband relationship document revolution hiding place,Ben Affleck Bryan Cranston Alan Arkin John Goodman Victor Garber,Ben Affleck,/iVk4mVKwNE66JbBcoDwcYFvuUXM.jpg
1103,The Fugitive,Adventure Action Thriller Crime Mystery,chicago showdown undercover surgeon death sentence,Harrison Ford Tommy Lee Jones Sela Ward Julianne Moore Joe Pantoliano,Andrew Davis,/sdylVXKmMZb5nCRJiMUwfDzVDQJ.jpg
1104,The Bounty Hunter,Action,bounty hunter ex-husband ex-wife relationship,Gerard Butler Jennifer Aniston Gio Perez Siobhan Fallon Joel Garland,Andy Tennant,/ilRHZg3rxrZKdA6EdwejPlgIw7O.jpg
1105,Sleepers,Crime Drama Thriller,child abuse sadistic sexual abuse pastor repayment,Robert De Niro Brad Pitt Kevin Bacon Jason Patric Ron Eldard,Barry Levinson,/w2rWEjAMYErpNfoK2Z0GFh1LFhN.jpg
1106,Rambo: First Blood Part II,Action Adventure Thriller War,usa vietnam veteran submachine gun prisoner prisoners of war,Sylvester Stallone Richard Crenna Charles Napier Steven Berkoff Julia Nickson,George P. Cosmatos,/gRWOLFbgkmujsPUNgQshkSkCTdf.jpg
1107,The Juror,Drama Thriller,jurors blackmail court case son trial,Demi Moore Alec Baldwin Joseph Gordon-Levitt Anne Heche James Gandolfini,Brian Gibson,/g0CGOIl3H1FDsqHpPzlfkhXAtv8.jpg
1108,Pinocchio,Animation Family,italy lie magic fairy pinocchio,Mel Blanc Don Brodie Walter Catlett Marion Darlington Frankie Darro,Ben Sharpsteen,/1NQkxP7oe5iJHNb4ApqhlDFJ9dI.jpg
1109,Heaven's Gate,Action Drama History Western,montana showdown brothel marshal dance,Kris Kristofferson Christopher Walken John Hurt Isabelle Huppert Sam Waterston,Michael Cimino,/tOUuPbywu4CW9ktyENijSxdJ5IZ.jpg
1110,Underworld: Evolution,Fantasy Action Science Fiction Thriller,budapest key vampire light werewolf,Kate Beckinsale Scott Speedman Tony Curran Shane Brolly Derek Jacobi,Len Wiseman,/s8OsODRjurs7n6U7WCVKfsoYbdH.jpg
1111,Victor Frankenstein,Drama Science Fiction Thriller,london england human experimentation frankenstein reanimated corpse frankenstein's monster,James McAvoy Daniel Radcliffe Jessica Brown Findlay Andrew Scott Charles Dance,Paul McGuigan,/8kJNwEkHIg4NePpFbYFwR8NC4UM.jpg
1112,Finding Forrester,Drama,upper class brother brother relationship scotland poetry based on novel,Sean Connery Rob Brown F. Murray Abraham Anna Paquin Busta Rhymes,Gus Van Sant,/22ESPmhVaVPMeD3sSyFWzUFy3ef.jpg
1113,28 Days,Comedy Drama,alcoholism urteil car crash wedding withdrawal,Sandra Bullock Viggo Mortensen Dominic West Elizabeth Perkins Alan Tudyk,Betty Thomas,/7beW8ftY4yVBdCu7gWKXogm0q22.jpg
1114,Unleashed,Action Crime,martial arts hitman serial killer,Jet Li Morgan Freeman Bob Hoskins Vincent Regan Dylan Brown,Louis Leterrier,/z8ejhyO0hVXk4KVo1bi4HMFP3FS.jpg
1115,The Sweetest Thing,Romance Comedy,roommate marriage aftercreditsstinger duringcreditsstinger,Cameron Diaz Christina Applegate Thomas Jane Selma Blair Jason Bateman,Roger Kumble,/g9ekJY8zNxQ9J3cRYQHzRwiObuq.jpg
1116,The Firm,Drama Mystery Thriller,fbi law tennessee lawyer law firm,Tom Cruise Jeanne Tripplehorn Gene Hackman Holly Hunter Ed Harris,Sydney Pollack,/rB4oTSg3PkH828b3hwn231brzwh.jpg
1117,Charlie St. Cloud,Drama,brother brother relationship based on novel sailing ghost young adult,Zac Efron Amanda Crew Charlie Tahan Augustus Prew Donal Logue,Burr Steers,/dzx5vStQX4bHA1JBq8n5yLUqQx4.jpg
1118,The Mechanic,Action Thriller Crime,poison chicago prostitute martial arts assassin,Jason Statham Ben Foster Donald Sutherland Mini Anden Tony Goldwyn,Simon West,/q7Hm5OgNAIyOdZS7tch8rcSNY64.jpg
1119,21 Jump Street,Action Comedy Crime,male friendship high school parody crude humor based on tv series,Channing Tatum Jonah Hill Brie Larson Dave Franco Ellie Kemper,Phil Lord,/lxCUDgZ54myV7goBrkpFoHRt9Ms.jpg
1120,Notting Hill,Romance Comedy Drama,london england bookshop birthday new love film maker,Julia Roberts Hugh Grant Gina McKee Tim McInnerny Rhys Ifans,Roger Michell,/bczMFOV3RTDEpxf6QdKw1m0NxLy.jpg
1121,Chicken Run,Animation Comedy Family,chicken freedom escape chicken farm pie machine,Mel Gibson Miranda Richardson Timothy Spall Imelda Staunton Jane Horrocks,Nick Park,/fPIFWeRec2gwho9fbxHu91mcYds.jpg
1122,Along Came Polly,Comedy Romance,beach honeymoon bride chance risk,Ben Stiller Jennifer Aniston Philip Seymour Hoffman Debra Messing Alec Baldwin,John Hamburg,/d0oHN3xA6TxOvADW64OiyYFpLOf.jpg
1123,Boomerang,Comedy Romance,role of women ladykiller success ladies' man chefin,Eddie Murphy Robin Givens Halle Berry David Alan Grier Grace Jones,Reginald Hudlin,/rNulkgxFcmlgre3G8S7ABegzPVm.jpg
1124,The Heat,Action Comedy Crime,boston fbi buddy comedy,Sandra Bullock Melissa McCarthy Demi\u00e1n Bichir Michael Rapaport Taran Killam,Paul Feig,/c0V8KAiuoWLXf7TfvwHK4yhIfb9.jpg
1125,Cleopatra,Drama History Romance,ancient rome historical figure cleopatra julius caesar,Elizabeth Taylor Richard Burton Rex Harrison Roddy McDowall Martin Landau,Joseph L. Mankiewicz,/qQGHkmLWPcMGkKws78pFh14SzUo.jpg
1126,Here Comes the Boom,Comedy,high school teacher prize money physics teacher fighting movie budget cutting,Salma Hayek Kevin James Henry Winkler Joe Rogan Reggie Lee,Frank Coraci,/2vXajoL0GQOQ0K0g1AIInOr15jM.jpg
1127,High Crimes,Drama Mystery Thriller Crime,based on novel witness village court love,Ashley Judd Morgan Freeman Jim Caviezel Amanda Peet Adam Scott,Carl Franklin,/bnNvjo4zVZ90sl0G5SMlXxa1xAh.jpg
1128,The Mirror Has Two Faces,Comedy Drama Romance,sex professor wedding woman director columbia university,Barbra Streisand Jeff Bridges Lauren Bacall George Segal Mimi Rogers,Barbra Streisand,/zCWB5IgYCrINqrWu8MIyIiA8sw6.jpg
1129,The Mothman Prophecies,Drama Horror Mystery,based on novel small town dream motel hallucination,Richard Gere Laura Linney Will Patton Bob Tracey Debra Messing,Mark Pellington,/6FSoZZTwYYrhs5lWdLhj9FCPtT9.jpg
1130,Brüno,Comedy,gay fame mockumentary hollywood lgbt,Sacha Baron Cohen Richard Bey Ron Paul Gustaf Hammarsten Clifford Ba\u00f1agale,Larry Charles,/wXNOOPJQjGm8NerPjjl8L3Xm50W.jpg
1131,Licence to Kill,Adventure Action Thriller,corruption florida secret identity liberation of prisoners drug traffic,Timothy Dalton Carey Lowell Robert Davi Talisa Soto Anthony Zerbe,John Glen,/p6VFbg5lhWj0RCgXf5dj6IDMPvt.jpg
1132,Red Riding Hood,Fantasy Thriller Horror,winter fantasy fairy tale hood werewolf,Amanda Seyfried Gary Oldman Billy Burke Shiloh Fernandez Max Irons,Catherine Hardwicke,/zfaajfDILOqfC6cbfjDy4a7obp6.jpg
1133,15 Minutes,Action Crime Thriller,new york female nudity prison prostitute rape,Robert De Niro Charlize Theron Edward Burns Kelsey Grammer Avery Brooks,John Herzfeld,/dGm3XpCrvwU7DmMz7UFViJtKAYg.jpg
1134,Super Mario Bros.,Adventure Comedy Family Fantasy,saving the world brother brother relationship royalty dinosaur based on video game,Bob Hoskins John Leguizamo Dennis Hopper Samantha Mathis Fisher Stevens,Annabel Jankel,/u30qU9YnmTtR3MPuay6svXy7rEG.jpg
1135,Lord of War,Crime Drama Thriller,cold war weapon arms dealer,Nicolas Cage Bridget Moynahan Jared Leto Ethan Hawke Eamonn Walker,Andrew Niccol,/z5LhR3cqKIL0atMcNd16s4IP2kQ.jpg
1136,Hero,Drama Adventure Action History,countryside loss of lover right and justice patriot,Jet Li Tony Leung Chiu-Wai Maggie Cheung Donnie Yen Zhang Ziyi,Zhang Yimou,/jDz6RYN3nKYtlo7J9IMvGoJit7B.jpg
1137,One for the Money,Action Comedy Crime,bounty hunter based on novel romance framed bail jumper,Katherine Heigl Jason O'Mara Daniel Sunjata John Leguizamo Sherri Shepherd,Julie Anne Robinson,/5AOV7ga7jvkIhmJalE4rmEf833X.jpg
1138,The Interview,Action Comedy,cia coup d'etat north korea assassination attempt evil dictator,James Franco Seth Rogen Lizzy Caplan Randall Park Diana Bang,Seth Rogen,/3YKGMZQ0pwQXSBSASeKlfPlkso7.jpg
1139,The Warrior's Way,Adventure Fantasy Action Western Thriller,assassin small town forest revenge deception,Kate Bosworth Jang Dong-gun Geoffrey Rush Danny Huston Ti Lung,Sngmoo Lee,/6FhmSHAmSjm5FGpLe2xqAl7ekFP.jpg
1140,Micmacs,Action Comedy Crime,unemployment contortionist human cannonball,Dany Boon Dominique Pinon Andr\u00e9 Dussollier Jean-Pierre Marielle Julie Ferrier,Jean-Pierre Jeunet,/5mUmH4iGBiDwCNzelZdg7ZcSLcl.jpg
1141,8 Mile,Drama,individual street gang adolescence rap music hip-hop,Eminem Mekhi Phifer Brittany Murphy Kim Basinger Michael Shannon,Curtis Hanson,/bfccQmQWNFQYRv4PHgCnjDu7PXn.jpg
1142,Why I Did (Not) Eat My Father,Adventure Comedy Animation,animation evolution humanity,Jamel Debbouze Ari\u00e9 Elmaleh M\u00e9lissa Theuriau Patrice Thibaud Christian Hecq,Jamel Debbouze,/msDLrSt7Ozpe6oOg4XJrsQJd2IE.jpg
1143,A Knight's Tale,Adventure Drama Romance Action,poetry knight tournament duel torture,Heath Ledger Rufus Sewell Shannyn Sossamon Paul Bettany Laura Fraser,Brian Helgeland,/inFHVFQb1qUzSSb8OjQs3B6kmIJ.jpg
1144,The Medallion,Thriller Fantasy Action Comedy,detective medallion leather jacket wretch fighter,Jackie Chan Lee Evans Claire Forlani Julian Sands John Rhys-Davies,Gordon Chan,/5GDwpS7FFnlkqLFtT06A93zOTRG.jpg
1145,The Sixth Sense,Mystery Thriller Drama,child abuse sense of guilt loss of child confidence psychology,Bruce Willis Toni Collette Olivia Williams Haley Joel Osment Donnie Wahlberg,M. Night Shyamalan,/6TjllWT3cGrPFyqDXurVZ3L8bBi.jpg
1146,Man on a Ledge,Action Thriller Crime,deception new york city rooftop diamond heist framed for a crime,Sam Worthington Elizabeth Banks Jamie Bell Ed Harris Edward Burns,Asger Leth,/8Bybs0GMVAllwOlnMMxn7G1qhtd.jpg
1147,The Big Year,Comedy,helicopter based on novel honeymoon airplane birding,Owen Wilson Steve Martin Jack Black Rashida Jones Jim Parsons,David Frankel,/sBOTeV38Xf3xyvzEq8tpHor6pCJ.jpg
1148,The Karate Kid,Drama,flat taskmaster karate egg kids and family,Ralph Macchio Pat Morita William Zabka Martin Kove Chad McQueen,John G. Avildsen,/g8Q4QfwO3curRpMqE4JUxPXfL3H.jpg
1149,American Hustle,Drama Crime,con artist scam mobster fbi agent,Christian Bale Bradley Cooper Amy Adams Jeremy Renner Jennifer Lawrence,David O. Russell,/ffJff2KWHd2rbwYWPRxKxTBypRB.jpg
1150,The Proposal,Comedy Romance Drama,fictitious marriage deportation immigration law romantic comedy alaska,Sandra Bullock Ryan Reynolds Mary Steenburgen Craig T. Nelson Betty White,Anne Fletcher,/wq17r2QvfXM7rwgN5oRghnGzFwp.jpg
1151,Double Jeopardy,Crime Drama Mystery Thriller,prison sailboat sailing trip new orleans women's prison,Tommy Lee Jones Ashley Judd Bruce Greenwood Annabeth Gish Benjamin Weir,Bruce Beresford,/wa2jU39LByrAG0l7wiXFvb81Ndi.jpg
